"Seviye";"Türkçe İpucu";"İngilizce Cevap";"Kelime Türü";"Sıklık Sırası";"Durum";"Durum Kodu";"İnceleyen Model";"Güven";"Önerilen İpucu";"İnceleme Gerekçesi";"Alternatifler";"Kaynak"
"A1";"Hakkında";"ABOUT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Boyunca";"ACROSS";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Aksiyon";"ACTION";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Aktivite";"ACTIVITY";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Aktör";"ACTOR";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Kadın oyuncu";"ACTRESS";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Eklemek";"ADD";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yetişkin";"ADULT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Tavsiye";"ADVICE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Korkmuş";"AFRAID";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Sonra";"AFTER";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Öğleden sonra";"AFTERNOON";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yeniden";"AGAIN";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Yaş";"AGE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Önce";"AGO";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Anlaşmak";"AGREE";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Hava";"AIR";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Havaalanı";"AIRPORT";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Hepsi";"ALL";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"De";"ALSO";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Her zaman";"ALWAYS";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
"A1";"Harika";"AMAZING";"";"";"İnsan onaylı";"approved";"İnsan";"";"";"";"";"existing-a1-bank"
