"Uzunluk";"Cevap";"Kategori";"Atom Numarası";"Türkçe İpucu";"İngilizce İpucu";"Alternatif Türkçe İpuçları";"Durum"
"1";"A";"alphabet";"";"İngiliz alfabesinin ilk harfi";"First letter of the English alphabet";"";"approved"
"1";"B";"alphabet";"";"İngiliz alfabesinde A harfinden sonra";"After A in the English alphabet";"Atom numarası 5 olan elementin simgesi";"approved"
"1";"C";"alphabet";"";"İngiliz alfabesinde B harfinden sonra";"After B in the English alphabet";"Atom numarası 6 olan elementin simgesi";"approved"
"1";"Ç";"alphabet";"";"Türk alfabesinde C harfinden sonra";"After C in the Turkish alphabet";"";"approved"
"1";"D";"alphabet";"";"İngiliz alfabesinde C harfinden sonra";"After C in the English alphabet";"";"approved"
"1";"E";"alphabet";"";"İngiliz alfabesinde D harfinden sonra";"After D in the English alphabet";"";"approved"
"1";"F";"alphabet";"";"İngiliz alfabesinde E harfinden sonra";"After E in the English alphabet";"Atom numarası 9 olan elementin simgesi";"approved"
"1";"G";"alphabet";"";"İngiliz alfabesinde F harfinden sonra";"After F in the English alphabet";"";"approved"
"1";"Ğ";"alphabet";"";"Türk alfabesinde G harfinden sonra";"After G in the Turkish alphabet";"";"approved"
"1";"H";"alphabet";"";"İngiliz alfabesinde G harfinden sonra";"After G in the English alphabet";"Atom numarası 1 olan elementin simgesi";"approved"
"1";"I";"alphabet";"";"İngiliz alfabesinde H harfinden sonra";"After H in the English alphabet";"Atom numarası 53 olan elementin simgesi";"approved"
"1";"İ";"alphabet";"";"Türk alfabesinde I harfinden sonra";"After I in the Turkish alphabet";"";"approved"
"1";"J";"alphabet";"";"İngiliz alfabesinde I harfinden sonra";"After I in the English alphabet";"";"approved"
"1";"K";"alphabet";"";"İngiliz alfabesinde J harfinden sonra";"After J in the English alphabet";"Atom numarası 19 olan elementin simgesi";"approved"
"1";"L";"alphabet";"";"İngiliz alfabesinde K harfinden sonra";"After K in the English alphabet";"";"approved"
"1";"M";"alphabet";"";"İngiliz alfabesinde L harfinden sonra";"After L in the English alphabet";"";"approved"
"1";"N";"alphabet";"";"İngiliz alfabesinde M harfinden sonra";"After M in the English alphabet";"Atom numarası 7 olan elementin simgesi";"approved"
"1";"O";"alphabet";"";"İngiliz alfabesinde N harfinden sonra";"After N in the English alphabet";"Atom numarası 8 olan elementin simgesi";"approved"
"1";"Ö";"alphabet";"";"Türk alfabesinde O harfinden sonra";"After O in the Turkish alphabet";"";"approved"
"1";"P";"alphabet";"";"İngiliz alfabesinde O harfinden sonra";"After O in the English alphabet";"Atom numarası 15 olan elementin simgesi";"approved"
